date,repo,user,role,hash
2021-01-05 09:51:03+00:00,mne-bids,adam2392,author,a316b98aeea99a8827b97b16b227cdae4f705612
2021-01-05 19:56:41+00:00,mne-hfo,adam2392,committer,e297980017020c26bffa473691f0c176093d7baf
2021-01-05 19:56:41+00:00,mne-hfo,adam2392,author,e297980017020c26bffa473691f0c176093d7baf
2021-01-06 13:07:49+00:00,mne-bids,adam2392,author,ec7e9c7c24431d16cbc88e851d971d7bb2825c04
2021-01-06 15:46:52+00:00,mne-bids,adam2392,author,00e6c8818ce71b833fadb3b47d3b3211a1fe6e53
2021-01-07 20:59:49+00:00,mne-hfo,adam2392,committer,5854be4e764977fb71b35d6969ce138027fce7c4
2021-01-07 20:59:49+00:00,mne-hfo,adam2392,author,5854be4e764977fb71b35d6969ce138027fce7c4
2021-01-11 22:30:51+00:00,mne-hfo,adam2392,committer,d2495d575c26f45e0b5672aeb06b2202438d1c51
2021-01-11 22:30:51+00:00,mne-hfo,adam2392,author,d2495d575c26f45e0b5672aeb06b2202438d1c51
2021-01-13 18:51:00+00:00,mne-bids,adam2392,author,9b82c86b9146af495dc92625c76c4915d79832a5
2021-01-21 02:46:04+00:00,mne-hfo,adam2392,author,f6a1ff6c1ab6b048164b54ad6f028ff13e0084f0
2021-01-21 02:54:42+00:00,mne-hfo,adam2392,committer,97ede05b1639d7adc29e546b441720b087e25377
2021-01-21 02:54:42+00:00,mne-hfo,adam2392,author,97ede05b1639d7adc29e546b441720b087e25377
2021-01-21 03:01:53+00:00,mne-hfo,adam2392,committer,1de20d9db419328b0fd46145ed116180b2832cf9
2021-01-21 03:01:53+00:00,mne-hfo,adam2392,author,1de20d9db419328b0fd46145ed116180b2832cf9
2021-01-21 03:06:40+00:00,mne-hfo,adam2392,committer,ef6d891a2456b612abde38c0e687e9546112fc5a
2021-01-21 03:06:40+00:00,mne-hfo,adam2392,author,ef6d891a2456b612abde38c0e687e9546112fc5a
2021-01-21 03:07:15+00:00,mne-hfo,adam2392,committer,7b3537597537403b5e4816899e2ddd1f9af648a7
2021-01-21 03:07:15+00:00,mne-hfo,adam2392,author,7b3537597537403b5e4816899e2ddd1f9af648a7
2021-01-21 03:08:03+00:00,mne-hfo,adam2392,author,ac4dac04d01e587e57790b377ce998ec231eb060
2021-01-21 03:08:03+00:00,mne-hfo,adam2392,committer,ac4dac04d01e587e57790b377ce998ec231eb060
2021-01-21 03:13:32+00:00,mne-hfo,adam2392,committer,cf47a8a539b08b876df14437c49df520416e2eb1
2021-01-21 03:13:32+00:00,mne-hfo,adam2392,author,cf47a8a539b08b876df14437c49df520416e2eb1
2021-01-21 03:59:55+00:00,mne-hfo,adam2392,committer,9dc4129a1a097260272d867fc1af51962254a3ef
2021-01-21 03:59:55+00:00,mne-hfo,adam2392,author,9dc4129a1a097260272d867fc1af51962254a3ef
2021-01-21 04:03:24+00:00,mne-hfo,adam2392,committer,2979fc5538b3ed842683447681bc275df9ae6a65
2021-01-21 04:03:24+00:00,mne-hfo,adam2392,author,2979fc5538b3ed842683447681bc275df9ae6a65
2021-01-21 04:08:05+00:00,mne-hfo,adam2392,committer,d400f0b95e0afc61dca40a7dd83f235303ce58f7
2021-01-21 04:08:05+00:00,mne-hfo,adam2392,author,d400f0b95e0afc61dca40a7dd83f235303ce58f7
2021-01-21 04:09:32+00:00,mne-hfo,adam2392,committer,8bbf715fa38b116526f70141ed47a8b5fe7a9b82
2021-01-21 04:09:32+00:00,mne-hfo,adam2392,author,8bbf715fa38b116526f70141ed47a8b5fe7a9b82
2021-01-21 04:21:51+00:00,mne-hfo,adam2392,committer,934f80d5cb6280fcdbe475eaad0026364777d47d
2021-01-21 04:21:51+00:00,mne-hfo,adam2392,author,934f80d5cb6280fcdbe475eaad0026364777d47d
2021-01-21 04:24:23+00:00,mne-hfo,adam2392,committer,42cec182bbfec706a12a61d7c86244db75a654fd
2021-01-21 04:24:23+00:00,mne-hfo,adam2392,author,42cec182bbfec706a12a61d7c86244db75a654fd
2021-01-21 04:25:00+00:00,mne-hfo,adam2392,committer,64c95ddecdc6d285803a12bee0cd69e5b9d12168
2021-01-21 04:25:00+00:00,mne-hfo,adam2392,author,64c95ddecdc6d285803a12bee0cd69e5b9d12168
2021-01-21 04:33:42+00:00,mne-hfo,adam2392,committer,c19b54bb0eb2618cce0ca9aedcee7e47a39989b1
2021-01-21 04:33:42+00:00,mne-hfo,adam2392,author,c19b54bb0eb2618cce0ca9aedcee7e47a39989b1
2021-01-21 04:43:05+00:00,mne-hfo,adam2392,committer,e12344923852460fb6067722f8f69369e478e6bb
2021-01-21 04:43:05+00:00,mne-hfo,adam2392,author,e12344923852460fb6067722f8f69369e478e6bb
2021-01-22 16:38:49+00:00,mne-hfo,adam2392,committer,cd94c44c985693b181a43069249e5a3309a492c7
2021-01-22 16:38:49+00:00,mne-hfo,adam2392,author,cd94c44c985693b181a43069249e5a3309a492c7
2021-01-22 16:39:02+00:00,mne-hfo,adam2392,committer,00a770f1d9ea97e4bf346efc0a84e53910a5b5c0
2021-01-22 16:39:02+00:00,mne-hfo,adam2392,author,00a770f1d9ea97e4bf346efc0a84e53910a5b5c0
2021-01-22 16:39:10+00:00,mne-hfo,adam2392,committer,6bfa199ff598166ba654683613e57cb7da702dc1
2021-01-22 16:39:10+00:00,mne-hfo,adam2392,author,6bfa199ff598166ba654683613e57cb7da702dc1
2021-02-01 13:42:41+00:00,mne-python,adam2392,author,9b57cbd8ec711e3af33846e62ad7d1fbbdcaf5cd
2021-02-07 03:35:12+00:00,mne-hfo,adam2392,committer,4848c7dba83257316395b434b93fbcb161d8aa49
2021-02-07 03:35:12+00:00,mne-hfo,adam2392,author,4848c7dba83257316395b434b93fbcb161d8aa49
2021-02-09 20:02:00+00:00,mne-hfo,adam2392,co-author,f692396482cd3b4fa0181c4117c39b6ea2acaab4
2021-02-15 19:59:55+00:00,mne-hfo,adam2392,author,4d4947300e065c49890c7a8b36e0c031afc952a4
2021-02-15 20:16:51+00:00,mne-hfo,adam2392,committer,0c22d873d4b89f495fecfce0d2454cc3684d7242
2021-02-15 20:16:51+00:00,mne-hfo,adam2392,author,0c22d873d4b89f495fecfce0d2454cc3684d7242
2021-02-25 08:10:51+00:00,mne-bids,eort,author,27a41b7e04a4639dbfc220e188d6e6fdf6af56f9
2021-02-25 17:47:42+00:00,mne-hfo,adam2392,committer,6f66ac0f8c17d07d2569072c4614fe2d55ba4cd0
2021-02-25 17:47:42+00:00,mne-hfo,adam2392,author,6f66ac0f8c17d07d2569072c4614fe2d55ba4cd0
2021-02-25 20:53:29+00:00,mne-hfo,adam2392,committer,65d10bef54aae5474b298b810a1aebee8dfb7f56
2021-02-25 20:53:29+00:00,mne-hfo,adam2392,author,65d10bef54aae5474b298b810a1aebee8dfb7f56
2021-02-25 21:00:30+00:00,mne-hfo,adam2392,committer,5fa748902813c1163324af7680cdce2d357b83d4
2021-02-25 21:00:30+00:00,mne-hfo,adam2392,author,5fa748902813c1163324af7680cdce2d357b83d4
2021-02-25 21:04:14+00:00,mne-hfo,adam2392,author,5d2287104933ef799ecbd2a693d681f9aaac6439
2021-02-25 21:04:14+00:00,mne-hfo,adam2392,committer,5d2287104933ef799ecbd2a693d681f9aaac6439
2021-02-25 21:10:16+00:00,mne-hfo,adam2392,committer,eb9729033640101677a616aa83ca78eaf0d13f29
2021-02-25 21:10:16+00:00,mne-hfo,adam2392,author,eb9729033640101677a616aa83ca78eaf0d13f29
2021-02-28 19:57:10+00:00,mne-bids,adam2392,author,a45695ed43394f067a776f0f51441723915bcbf5
2021-03-02 07:56:11+00:00,mne-python,adam2392,author,2b09a1752dd227640cc4234115676d05bba6350a
2021-03-02 12:12:05+00:00,mne-python,marsipu,author,dc86ec0519632ac86eb8f1f640972d0f6df45562
2021-03-04 13:46:00+00:00,mne-python,dominikwelke,author,4514ea7887ddef6357d0197b5271cb5020c669ce
2021-03-09 17:52:32+00:00,mne-python,HanBnrd,author,2d2e2ce2dc95813c88ee13d4452be4118952c170
2021-03-09 20:07:50+00:00,mne-python,HanBnrd,author,64c90ce224b96358eb7d083e5b89c8faf226c909
2021-03-12 18:06:22+00:00,mne-bids,adam2392,author,513650768f578d9b8c6e3699e6ca83cb5437517a
2021-03-15 13:18:10+00:00,mne-python,eort,author,b0778b86404506414501bf83a4629d3a73970ae9
2021-03-15 14:36:16+00:00,mne-python,marsipu,author,1171b4a12f91756a1576077c181cf37b267da446
2021-03-15 14:38:01+00:00,mne-python,eioe,author,eec545f5c6a94877cd87060a7f2f12adc1c7fcba
2021-03-15 14:49:38+00:00,mne-python,vagechirkov,author,d489bcf68f02a8535a1ec7bc323fcd7107ab84e9
2021-03-15 14:55:00+00:00,mne-python,ramkpari,author,51677154fea57d90cbe7a989c5b59803ec901064
2021-03-15 15:23:30+00:00,mne-python,sfc-neuro,author,2f908df809f3c099d26bce373286e3bf16efa6fa
2021-03-15 15:30:13+00:00,mne-python,neurogima,author,c25aeee579fabdc2533c5ee591d9654e6d40f063
2021-03-15 15:41:47+00:00,mne-python,anaradanovic,author,18cd16b971902b5bed979fb5a5c88a3e318245b5
2021-03-15 15:43:25+00:00,mne-python,kimcoco,author,9798a638a50ed5a034d81f6619deee483fe57154
2021-03-15 15:48:17+00:00,mne-python,HanBnrd,author,428e73badd512e528aa7eb236785b30a2eaac53e
2021-03-15 15:53:57+00:00,mne-python,HanBnrd,author,0d8a7b0717dc33e75dc20c9cdd356f51a515309d
2021-03-15 19:54:00+00:00,mne-python,mdclarke,author,505e7a03e389e0552cf521dc044cf7ee93614be6
2021-03-15 19:56:09+00:00,mne-python,eort,author,0974fc51f0f9bc76c8ebeec3695726f2680b11ff
2021-03-15 20:08:31+00:00,mne-python,eioe,author,c22263c70c85d755ccb424b98d226a43c73534c3
2021-03-15 20:10:02+00:00,mne-python,Falach,author,3ca43776bc2a380a10b1c1f7aef33c619c5a2af2
2021-03-15 20:14:00+00:00,mne-python,marsipu,author,1fb6e41e7de3c896114453880267e301659c7105
2021-03-15 20:46:49+00:00,mne-python,alexrockhill,author,8e6858e0cfda78923cd745bb83d2f53bc6f6b02f
2021-03-15 20:51:49+00:00,mne-python,adam2392,author,d167f95aa5534136f8390e3c971e668b5bb02ef2
2021-03-15 21:04:12+00:00,mne-python,mdclarke,author,fabd29fc8e0d2508399ed006a74f5fd3463b38b4
2021-03-15 21:17:59+00:00,mne-python,ramkpari,author,94870a5532a43a0ca850d58789a77ceeb532a3b5
2021-03-15 21:40:18+00:00,mne-python,catalinamagalvan,author,6d1ee18a4cd7e753a0c42306a89630d7e8d092cb
2021-03-15 21:40:56+00:00,mne-python,vpeterson,author,f0aa3841b0023d83c96bd2b27ec6f0515cb82719
2021-03-15 21:55:25+00:00,mne-python,timonmerk,author,b495090403202aebb8bbf6dd02a81a439cbcfcb5
2021-03-15 22:17:45+00:00,mne-python,mdclarke,author,e1dacb5e63ea97d89ff71016a4edcf35e7edb1dc
2021-03-15 22:39:35+00:00,mne-python,mdclarke,author,7168e683e319f99a3c57ec68f7f0e844eafcb463
2021-03-15 23:55:34+00:00,mne-python,cmista,author,cc80458ba6aec4f790a56cc445e3f024740732de
2021-03-16 07:36:34+00:00,mne-python,NeuroLaunch,co-author,b465989273481d3b6264964a0baf877d1e913873
2021-03-16 07:36:34+00:00,mne-python,NeuroLaunch,author,b465989273481d3b6264964a0baf877d1e913873
2021-03-16 08:28:00+00:00,mne-python,sfc-neuro,author,8be65850012d54155758545594d671d9cc93e04b
2021-03-16 11:34:59+00:00,mne-python,ramkpari,author,602a94f62127736834fa65e0c33fe037763efdb2
2021-03-16 11:36:10+00:00,mne-python,neurogima,author,80b029d305872aef82e03d1f9353a191e17da7c6
2021-03-16 11:40:21+00:00,mne-python,vagechirkov,author,04bb93a2e8bf47e39049b9b2b874a23d1f079ee3
2021-03-16 11:41:46+00:00,mne-python,vpeterson,author,52e97df12b6da69a66e645c951a35795733ac9a5
2021-03-16 12:35:31+00:00,mne-python,eort,author,04c58d73112916444b71710bd2b60f77723028fc
2021-03-16 14:53:20+00:00,mne-python,anaradanovic,author,c8f0f51b4a747dc3f08128c7c232ce3ac005cdba
