date,unique contributors
2010-11-01,0
2010-12-01,0
2011-01-01,1
2011-02-01,2
2011-03-01,2
2011-04-01,3
2011-05-01,3
2011-06-01,3
2011-07-01,3
2011-08-01,3
2011-09-01,4
2011-10-01,6
2011-11-01,6
2011-12-01,7
2012-01-01,7
2012-02-01,7
2012-03-01,7
2012-04-01,7
2012-05-01,7
2012-06-01,7
2012-07-01,7
2012-08-01,11
2012-09-01,12
2012-10-01,13
2012-11-01,13
2012-12-01,15
2013-01-01,15
2013-02-01,16
2013-03-01,17
2013-04-01,18
2013-05-01,19
2013-06-01,20
2013-07-01,22
2013-08-01,23
2013-09-01,23
2013-10-01,25
2013-11-01,28
2013-12-01,30
2014-01-01,31
2014-02-01,32
2014-03-01,33
2014-04-01,35
2014-05-01,38
2014-06-01,40
2014-07-01,43
2014-08-01,43
2014-09-01,44
2014-10-01,45
2014-11-01,45
2014-12-01,47
2015-01-01,47
2015-02-01,47
2015-03-01,48
2015-04-01,51
2015-05-01,54
2015-06-01,57
2015-07-01,60
2015-08-01,61
2015-09-01,62
2015-10-01,62
2015-11-01,63
2015-12-01,66
2016-01-01,67
2016-02-01,70
2016-03-01,74
2016-04-01,76
2016-05-01,77
2016-06-01,79
2016-07-01,81
2016-08-01,83
2016-09-01,86
2016-10-01,88
2016-11-01,89
2016-12-01,90
2017-01-01,95
2017-02-01,99
2017-03-01,102
2017-04-01,109
2017-05-01,112
2017-06-01,114
2017-07-01,116
2017-08-01,119
2017-09-01,121
2017-10-01,121
2017-11-01,122
2017-12-01,122
2018-01-01,122
2018-02-01,124
2018-03-01,130
2018-04-01,135
2018-05-01,137
2018-06-01,139
2018-07-01,141
2018-08-01,142
2018-09-01,145
2018-10-01,148
2018-11-01,151
2018-12-01,155
2019-01-01,155
2019-02-01,158
2019-03-01,162
2019-04-01,166
2019-05-01,173
2019-06-01,174
2019-07-01,177
2019-08-01,178
2019-09-01,180
2019-10-01,189
2019-11-01,195
2019-12-01,199
2020-01-01,201
2020-02-01,202
2020-03-01,204
2020-04-01,209
2020-05-01,212
2020-06-01,213
2020-07-01,213
2020-08-01,214
2020-09-01,218
2020-10-01,223
2020-11-01,225
2020-12-01,228
2021-01-01,231
2021-02-01,232
2021-03-01,235
2021-04-01,257
2021-05-01,258
2021-06-01,260
2021-07-01,263
2021-08-01,265
2021-09-01,267
2021-10-01,270
2021-11-01,273
2021-12-01,275
2022-01-01,278
2022-02-01,280
2022-03-01,281
2022-04-01,284
2022-05-01,287
2022-06-01,290
2022-07-01,299
2022-08-01,306
2022-09-01,315
2022-10-01,319
2022-11-01,325
2022-12-01,328
2023-01-01,331
2023-02-01,332
2023-03-01,340
2023-04-01,342
2023-05-01,345
2023-06-01,347
2023-07-01,350
2023-08-01,356
2023-09-01,356
2023-10-01,361
2023-11-01,363
2023-12-01,368
2024-01-01,369
2024-02-01,370
2024-03-01,376
2024-04-01,377
2024-05-01,379
2024-06-01,382
2024-07-01,385
2024-08-01,386
2024-09-01,388
2024-10-01,388
2024-11-01,389
2024-12-01,392
2025-01-01,393
2025-02-01,396
2025-03-01,399
2025-04-01,399
2025-05-01,405
2025-06-01,406
2025-07-01,410
2025-08-01,410
2025-09-01,412
2025-10-01,416
2025-11-01,419
2025-12-01,423
2026-01-01,424
2026-02-01,432
2026-03-01,436
2026-04-01,440
2026-05-01,441
2026-06-01,441
2026-07-01,441
